分类,级别,类型,简称,全称,出版社,网址
网络与信息安全,C,期刊,IET Information Security,IET Information Security,IET,http://dblp.uni-trier.de/db/journals/iet-ifs/
网络与信息安全,C,期刊,IMCS,Information and Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/
网络与信息安全,C,期刊,IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/
网络与信息安全,C,期刊,IJISP,International Journal of Information Security and Privacy,IGI Global,http://dblp.uni-trier.de/db/journals/ijisp/
网络与信息安全,C,期刊,JISA,Journal of Information Security and Applications,Elsevier,https://dblp.uni-trier.de/db/journals/istr/
网络与信息安全,C,期刊,SCN,Security and Communication Networks,Wiley,http://dblp.uni-trier.de/db/journals/scn/
网络与信息安全,C,期刊,HCC,High-Confidence Computing,Elsevier,https://www.journals.elsevier.com/high-confidence-computing
网络与信息安全,A,会议,CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/
网络与信息安全,A,会议,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/
网络与信息安全,A,会议,S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/
网络与信息安全,A,会议,CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/
网络与信息安全,A,会议,USENIX Security,USENIX Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/
网络与信息安全,A,会议,NDSS,Network and Distributed System Security Symposium,ISOC,http://dblp.uni-trier.de/db/conf/ndss/
网络与信息安全,B,会议,ACSAC,Annual Computer Security Applications Conference,IEEE,https://dblp.uni-trier.de/db/conf/ascac/index.html
网络与信息安全,B,会议,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,https://dblp.uni-trier.de/db/conf/asiacrypt/index.html
网络与信息安全,B,会议,ESORICS,European Symposium on Research in Computer Security,Springer,https://dblp.uni-trier.de/db/conf/esorics/index.html
网络与信息安全,B,会议,FSE,Fast Software Encryption,Springer,https://dblp.uni-trier.de/db/conf/fse/index.html
网络与信息安全,B,会议,CSFW,IEEE Computer Security Foundations Workshop,IEEE,https://dblp.uni-trier.de/db/conf/csfw/index.html
网络与信息安全,B,会议,SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,https://dblp.uni-trier.de/db/conf/srds/index.html
网络与信息安全,B,会议,CHES,International Conference on Cryptographic Hardware and Embedded Systems,Springer,https://dblp.uni-trier.de/db/conf/ches/index.html
网络与信息安全,B,会议,DSN,International Conference on Dependable Systems and Networks,IEEE/IFIP,https://dblp.uni-trier.de/db/conf/dsn/index.html
网络与信息安全,B,会议,RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,https://dblp.uni-trier.de/db/conf/raid/index.html
